,precision,recall,f1-score,support
A+,0.9852941176470589,0.9852941176470589,0.9852941176470589,204.0
A-,0.9638888888888889,0.9665738161559888,0.9652294853963839,359.0
AB+,0.9649805447470817,0.9763779527559056,0.9706457925636007,254.0
AB-,0.9608540925266904,0.9818181818181818,0.9712230215827338,275.0
B+,0.978448275862069,0.9742489270386266,0.9763440860215054,233.0
B-,0.996268656716418,0.9816176470588235,0.9888888888888889,272.0
O+,0.9511400651465798,0.9636963696369637,0.9573770491803278,303.0
O-,0.975609756097561,0.9411764705882353,0.9580838323353293,255.0
accuracy,0.9707656612529002,0.9707656612529002,0.9707656612529002,0.9707656612529002
macro avg,0.9720605497040434,0.971350435337473,0.9716357842019786,2155.0
weighted avg,0.9709120628161155,0.9707656612529002,0.9707704503348702,2155.0
