,precision,recall,f1-score,support
A+,0.9949494949494949,0.9656862745098039,0.9800995024875622,204.0
A-,0.9746478873239437,0.9637883008356546,0.969187675070028,359.0
AB+,0.9429657794676806,0.9763779527559056,0.9593810444874274,254.0
AB-,0.9816176470588235,0.9709090909090909,0.9762340036563071,275.0
B+,0.9781659388646288,0.9613733905579399,0.9696969696969697,233.0
B-,0.978021978021978,0.9816176470588235,0.9798165137614679,272.0
O+,0.9577922077922078,0.9735973597359736,0.9656301145662848,303.0
O-,0.9571984435797666,0.9647058823529412,0.9609375,255.0
accuracy,0.9698375870069605,0.9698375870069605,0.9698375870069605,0.9698375870069605
macro avg,0.9706699221323154,0.9697569873395167,0.9701229154657559,2155.0
weighted avg,0.9700963959611488,0.9698375870069605,0.9698841220691375,2155.0
